feature,importance
project_key_MDEP,0.0013332867742452128
project_key_WICKET,0.0012868784774979203
project_key_GROOVY,0.0012691565537991476
project_key_NUTCH,0.0012577840552781784
project_key_CLOUDSTACK,0.0011949559191147799
project_key_XW,0.0011890828459875393
project_key_PHOENIX,0.0010999686750961224
project_key_PDFBOX,0.001095899212709554
project_key_ARCHETYPE,0.0010689209022399237
project_key_XMLCOMMONS,0.0010377932520745099
project_key_MASSEMBLY,0.0009616229734934103
project_key_DIRSERVER,0.0009163288412931654
project_key_HTTPCLIENT,0.0008956447976703924
project_key_XERCESJ,0.0008801430978270312
project_key_JS1,0.0008692290557587548
project_key_GERONIMO,0.000835425624492937
project_key_VALIDATOR,0.0006690253629403066
priority_Not a Priority,0.0006578179234687643
project_key_IO,0.0006263168075841595
project_key_TAPESTRY,0.0005942634340687205
project_key_XALANC,0.0005745152936807383
project_key_IMPALA,0.0005168219044717153
project_key_TOREE,0.0004843142977633004
project_key_TOBAGO,0.00046421828599325004
project_key_TUSCANY,0.0004386026050321389
issue_type_Test,0.00042935521428738994
project_key_SMX4,0.0004240136093558487
project_key_MESOS,0.0004187309699141515
project_key_JOSHUA,0.00040656489828820764
project_key_FOR,0.00040028756679494424
project_key_HDFS,0.0003982350561203361
project_key_JAMES,0.0003897718470501811
project_key_SIS,0.0003830346407404694
project_key_ANY23,0.0003669036682922938
project_key_CXF,0.00035784534026442896
project_key_APLO,0.00035555286841205415
project_key_JCR,0.00034726387823863123
project_key_MATH,0.00034586497099742876
project_key_MCOMPILER,0.0003380409078617695
project_key_SLING,0.00030264736599452133
project_key_BEEHIVE,0.0002982652069094099
project_key_BCEL,0.00029397220859103516
project_key_DIRKRB,0.00029074600506195426
issue_type_Dependency upgrade,0.00028913395327272303
project_key_PIG,0.000287869613001352
project_key_CAY,0.0002877010354806237
project_key_CARBONDATA,0.0002732226931180965
project_key_KARAF,0.00026728603170915965
project_key_RIVER,0.00026613997804422464
project_key_BRAND,0.00026343004876577017
project_key_WAGON,0.00026141475223090643
project_key_DIRMINA,0.00025722632157710234
project_key_TRAFODION,0.00025382154754059283
project_key_PODLINGNAMESEARCH,0.0002342714585800576
project_key_TAP5,0.00023117460359497652
project_key_INCUBATOR,0.00023108909490750993
project_key_FLUME,0.00022658121382159154
project_key_RAMPART,0.0002199816541271913
project_key_CB,0.0002129933549718195
project_key_DMAP,0.00021047029442860415
project_key_IGNITE,0.00020751532470551619
project_key_MYFACES,0.00020335016084318004
project_key_SOAP,0.00019430210787028514
project_key_MSITE,0.00019137173022679428
project_key_YOKO,0.00018938065887914363
project_key_MCHANGELOG,0.00018755072606153265
project_key_COLLECTIONS,0.00018297080021703404
project_key_RANGER,0.0001802841095566555
project_key_TINKERPOP,0.00017810038875485051
project_key_FLINK,0.00017530246555179079
issue_type_Suitable Name Search,0.00017078353854892982
project_key_CASSANDRA,0.00016951662037707104
project_key_DAFFODIL,0.00016851178244596705
project_key_MDEPLOY,0.00016846473181764837
project_key_MADLIB,0.00015979629579246295
project_key_MENFORCER,0.00015498526814246261
project_key_UIMA,0.0001512464600778451
project_key_JELLY,0.0001434333909364372
project_key_LUCENE,0.00014290057042688772
project_key_SPARK,0.00013844634997480174
project_key_CONNECTORS,0.00013512402703593217
project_key_ZEPPELIN,0.00013479535041983155
project_key_SM,0.00013327781676970371
project_key_NUMBERS,0.00013319006239861963
project_key_SHINDIG,0.0001311288016506394
project_key_VELTOOLS,0.0001292832055200345
issue_type_Documentation,0.00012520013076471067
project_key_SQOOP,0.00012446242363878488
project_key_MWAR,0.00012064028180938485
project_key_ARTEMIS,0.00011532302104771226
project_key_AXISCPP,0.00011485625232262174
project_key_XGC,0.00011372616797721145
project_key_MSTAGE,0.00011041599388890159
project_key_TAJO,0.00010920839188029246
project_key_SHIRO,0.0001062443630286097
priority_Normal,0.0001058384695621472
project_key_LANG,0.00010091674793267122
project_key_LENS,9.293720870168128e-05
project_key_OPENEJB,8.990708549420794e-05
project_key_OODT,8.745084550917957e-05
project_key_SPOT,8.269957256609792e-05
project_key_MCHANGES,8.25295336981888e-05
project_key_TORQUEOLD,8.230700650973737e-05
project_key_MINSTALL,8.11018013980749e-05
project_key_QPID,7.765935237240397e-05
project_key_OFBIZ,7.697796218053591e-05
project_key_MAHOUT,7.618294678284833e-05
priority_Low,7.606395548344128e-05
project_key_SCIMPLE,7.594905575106373e-05
project_key_SYSTEMDS,7.570117813137551e-05
project_key_PYLUCENE,7.38505021368112e-05
project_key_TEZ,7.180403779753617e-05
issue_type_Epic,7.176791096426716e-05
project_key_GIRAPH,7.173748490946407e-05
project_key_MANTTASKS,6.719124038813828e-05
project_key_MANTRUN,6.653928856387555e-05
project_key_CAUSEWAY,6.636967249563858e-05
project_key_FALCON,6.267950639777952e-05
project_key_JENA,6.202099990018025e-05
project_key_AXIS2,6.182734029940961e-05
project_key_REEF,6.040391391233585e-05
project_key_MRM,5.882295372939566e-05
project_key_PLUTO,5.807961416241682e-05
project_key_BIGTOP,5.574625768458351e-05
project_key_KAFKA,5.449678968111806e-05
project_key_LOG4NET,5.441169521843672e-05
project_key_SUREFIRE,5.376152399711287e-05
project_key_JSPWIKI,5.336417735430848e-05
project_key_CTAKES,5.331655908592937e-05
project_key_METRON,5.319027724258471e-05
issue_type_Question,5.1916521570246874e-05
project_key_ATLAS,5.1912013209196954e-05
project_key_VFS,5.182088938188155e-05
project_key_LUCENENET,4.999845153157315e-05
project_key_SLIDER,4.946069422528158e-05
project_key_DOXIA,4.9428153037966375e-05
project_key_RAVE,4.775854088027168e-05
project_key_GEODE,4.4852331603190324e-05
project_key_MRESOURCES,4.403646029273427e-05
project_key_CACTUS,4.35307692862962e-05
project_key_LOG4J2,4.281660142502336e-05
issue_type_Story,4.190754904096596e-05
project_key_DBCP,4.178528375144534e-05
project_key_EXEC,4.158770830283602e-05
project_key_ZOOKEEPER,4.1499246058224065e-05
project_key_XMLRPC,3.970707163085678e-05
project_key_OLINGO,3.697856752057723e-05
project_key_IBATIS,3.685159789729388e-05
project_key_HAWQ,3.6610555027514695e-05
project_key_CONFIGURATION,3.658789258986183e-05
project_key_MCHECKSTYLE,3.6028851892388576e-05
project_key_ARROW,3.4803622497362195e-05
project_key_TRINIDAD,3.378156232642692e-05
project_key_MSHARED,3.21666773054839e-05
project_key_BUILDR,3.066199769806379e-05
project_key_AVRO,2.96106908478762e-05
project_key_SCXML,2.8509228741076435e-05
project_key_OPENNLP,2.826916481219402e-05
project_key_THRIFT,2.8265170233982504e-05
project_key_SYNCOPE,2.7588788790644307e-05
project_key_GUMP,2.7452408835871527e-05
issue_type_Temp,2.7429941671541326e-05
project_key_DATAFU,2.6367392703448905e-05
project_key_OGNL,2.6040526420996815e-05
project_key_AXIS2C,2.4795995214229653e-05
project_key_MYRIAD,2.463958514441395e-05
project_key_PNIX,2.4547329615468892e-05
project_key_NIFI,2.4502453529759565e-05
project_key_WSIF,2.4242042959340542e-05
project_key_FTPSERVER,2.375488307773339e-05
project_key_GORA,2.320780626449627e-05
project_key_YARN,2.3133334378696505e-05
project_key_PIVOT,2.3025956421552786e-05
project_key_MNGSITE,2.294620220452923e-05
project_key_SENTRY,2.2800389295572475e-05
project_key_CONTINUUM,2.240055985912972e-05
project_key_TS,2.1626988730626997e-05
project_key_SINGA,2.1562295299768438e-05
project_key_JS2,2.1503523675618085e-05
project_key_TEPHRA,2.063599678481286e-05
project_key_MILAGRO,1.940472979110654e-05
project_key_DIR,1.922193325800962e-05
project_key_DELTASPIKE,1.821796872336459e-05
project_key_OPENMEETINGS,1.807955643058197e-05
project_key_OPENJPA,1.7982756695626963e-05
project_key_MINIFICPP,1.72960402305902e-05
project_key_VCL,1.7129408264358946e-05
project_key_MJAR,1.6892558270681857e-05
project_key_HADOOP,1.6858150661238842e-05
project_key_STRATOS,1.638079642923611e-05
project_key_MAILBOX,1.5876450781544174e-05
project_key_CHUKWA,1.5121500860350732e-05
project_key_MAILET,1.4497481930971613e-05
project_key_SERF,1.4405716228345572e-05
project_key_LEGAL,1.4294063129427346e-05
project_key_KUDU,1.427791932012857e-05
project_key_JEXL,1.3770918406893067e-05
project_key_MAPREDUCE,1.3537930500392684e-05
project_key_DRILL,1.2591742781767619e-05
project_key_IMAGING,1.2489407703270851e-05
project_key_LIBCLOUD,1.2412053071264774e-05
project_key_MNEMONIC,1.1459708500824217e-05
project_key_XERCESP,1.1215058949035833e-05
issue_type_Dependency,1.1071798644426333e-05
issue_type_Technical task,1.0956448839291575e-05
project_key_FELIX,1.0396781138233182e-05
project_key_DAEMON,1.0010235091418745e-05
project_key_MIME4J,9.831198858338665e-06
project_key_HAMA,9.487509404501919e-06
