feature,importance
project_key_OWB,5.191635445021835e-06
project_key_AXIOM,5.097801261963287e-06
project_key_WOOKIE,5.0462373199388916e-06
project_key_JEXL,4.92322905128838e-06
project_key_CLI,4.905510667038384e-06
project_key_DDLUTILS,4.624368900858045e-06
project_key_WAVE,4.371385734576537e-06
project_key_DUBBO,4.307263504754708e-06
project_key_LUCY,4.2690501034029635e-06
issue_type_Temp,4.1925511533836335e-06
project_key_OGNL,4.186481404766553e-06
project_key_DMAP,4.077467362500548e-06
project_key_DATAFU,4.059114724587761e-06
project_key_POOL,3.9703858270135556e-06
project_key_MARCHETYPES,3.862863273287177e-06
project_key_MAILET,3.845933545540362e-06
project_key_SCOUT,3.820833879122773e-06
project_key_AGILA,3.6850219802508225e-06
project_key_AMATERASU,3.555649601384934e-06
project_key_SIRONA,3.5445604566211585e-06
project_key_LANG,3.5035255514991426e-06
project_key_MENFORCER,3.50343874011461e-06
project_key_PROTON,3.399676019197579e-06
project_key_MPLUGIN,3.396270871121366e-06
project_key_CLKE,3.382659356206981e-06
project_key_VXQUERY,3.352178644984103e-06
project_key_DIGESTER,3.26907466960844e-06
project_key_YETUS,3.2085338436918725e-06
project_key_MDEPLOY,3.087506514643869e-06
project_key_APA,3.0777120617383343e-06
issue_type_Request,3.0063851969923675e-06
project_key_MRUNIT,2.9957116898798092e-06
project_key_COMMONSRDF,2.921467164146579e-06
project_key_BEANUTILS,2.8837075946970364e-06
project_key_RAT,2.673839962627733e-06
project_key_MARMOTTA,2.6658815232402416e-06
project_key_COR,2.646381079922217e-06
project_key_ROCKETMQ,2.5565251583491144e-06
project_key_EXEC,2.533635791322048e-06
project_key_BROOKLYN,2.45400365324691e-06
project_key_JCLOUDS,2.422337263233692e-06
project_key_RNG,2.4176929089708995e-06
project_key_LIVY,2.397282415582676e-06
project_key_JSPWIKI,2.332403661762009e-06
project_key_OLIO,2.2946965506256636e-06
project_key_FC,2.242268243533298e-06
project_key_DIRAPI,2.2169854917104833e-06
project_key_MANTTASKS,2.2025172326866357e-06
project_key_EXTCDI,2.144765766519232e-06
project_key_MPMD,2.144543523019527e-06
project_key_XMLSCHEMA,2.110799015144503e-06
project_key_COMPRESS,2.0335077289326233e-06
project_key_MEJB,2.0208824476484985e-06
project_key_HISE,1.9824454600841866e-06
project_key_BLUR,1.9593944122076775e-06
project_key_COMDEV,1.940680150116246e-06
project_key_WSCOMMONS,1.8981822909004145e-06
project_key_S4,1.8827467154227903e-06
project_key_BVAL,1.8581697084235214e-06
project_key_MGPG,1.820397708292721e-06
